lab_name;tube_number;species;antigen_target;clone;company;order_number;lot_number;fluorochrome;processing;status;volume_on_arrival;cost_chf;quality_color;current_vol;antibody_code
Alimonti;3A;mouse;Microtubule Associated Protein Tau 13;T49;Sigma Aldrich;ZMS1137-4X25UL;;APC (in-house conj);FFPE;in use;100;7.1;good;79;136
Alimonti;4A;mouse;Ubiquitin C-Terminal Hydrolase L1 (PGP9.5);13C4 / I3C4;abcam;ab8189;;APC (in-house conj);FFPE;in use;100;8.7;no;89;137
Alimonti;5A;mouse;CHRNA 1 (Cholinergic Receptor_Nicotinic_Alpha Polypeptide 1 (Muscle));Rabbit polyclonal;Proteintech Europe;10613-1-AP;;APC (in-house conj);FFPE;in use;100;7.1;not tested;78;138
Alimonti;6A;mouse;Neural Cell Adhesion Molecule 1 - NCAM (CD56);EPR21827;Abcam;ab302694;;AF647;FFPE;in use;100;6.7;good;68;139
Alimonti;7A;mouse;PDGRa (Platelet Derived Growth Factor Receptor alpha);Goat polyclonal;Biotechne;AF1062;;APC (in-house conj);FFPE;in use;100;10.1;good;78;140
Alimonti;8A;mouse;CD4;D7D2Z;BioConcept;25229T;;primary;FFPE;in use;20;11.8;no;20;141
Alimonti;44A;mouse;CD4;D7D2Z;BioConcept;27520;;FITC (in-house conj);FFPE;in use;100;11.3;no;57;142
Alimonti;9A;mouse;phospho-Histone H2A.X (Ser139);20E3;BioConcept;5763S;;PE;FFPE;in use;100;7.4;good;100;143
Alimonti;10A;mouse;Nectin 2;EPR6717;Abcam;AB237121-1004;;PE;FFPE;in use;100;5.9;good;58;144
Alimonti;11A;human;FOXP3;REA1253;Miltenyi;130-125-580;;APC;FFPE;in use;200;1.5;not tested;200;145
Alimonti;12A;human;CD3;REA1151;Miltenyi;130-120-269;;APC;FFPE;in use;200;1.5;good;156;146
Alimonti;13A;human/mouse;PARP1;EPR18461;Abcam;ab311131;;AF647;FFPE;in use;100;6.6;OK;68.5;147
Alimonti;14A;human;53BP1;REAL 1211;Miltenyi;130-130-617;;PE;FFPE;in use;200;2.2;not tested;188;148
Alimonti;15A;human/mouse/rat;PCNA;REA858;Miltenyi;130-114-511;;FITC;FFPE;in use;200;1.2;good;0;149
Alimonti;16A;mouse;HB9/HLXB9/MNX1;Rabbit polyclonal;Abcam;AB92606-1001;;APC (in-house conj);FFPE;in use;100;8.5;OK;89;150
Alimonti;17A;mouse;TRPV1;EPR25057-67;Abcam;AB313673;;AF647;FFPE;in use;100;6.6;no;89;151
Alimonti;18A;Human (maybe mouse?);Anti-Choline Acetyltransferase;EPR13024(B);Abcam;AB192466-1002;;AF647;FFPE;in use;100;6.6;good;92;152
Alimonti;19A;mouse;Neurofilament/NF-L;EPR22035-112;Abcam;ab307394;;AF488;FFPE;in use;100;6.6;not tested;100;153
Alimonti;20A;mouse;BRN3A;EPR23257-285;Abcam;ab300744;;AF647;FFPE;in use;100;6.4;OK;89;154
Alimonti;21A;mouse;SLC18A3;Rabbit polyclonal;LuBioScience GmbH;A16068-100ul;;FITC (in-house conj);FFPE;in use;100;6.9;OK;94.5;155
Alimonti;22A;mouse;CD11c;EPR21826;Abcam;ab240558;;APC (in-house conj);FFPE;in use;100;9.3;no;47;156
Alimonti;23A;mouse/human;CD3 ;SP162;Abcam;AB245731;;FITC (in-house conj);FFPE;in use;100;8.6;no;58;157
Alimonti;24A;mouse;MHC1;R1-21.2;Abcam;ab281902;;primary;FFPE;in use;200;2.5;good;179;158
